Cycle,Peptide_Count,Membrane_Thickness,Raft_Count,L_fraction,D_fraction
153,100,3.0,20,0.65,0.35
154,100,3.0,20,0.65,0.35
155,100,3.0,20,0.65,0.35
156,100,3.0,20,0.65,0.35
157,100,3.0,20,0.65,0.35
158,100,3.0,20,0.65,0.35
159,100,3.0,20,0.65,0.35
160,100,3.0,20,0.65,0.35
161,100,3.0,20,0.7,0.3
162,100,3.0,20,0.7,0.3
163,100,3.0,20,0.7,0.3
164,100,3.0,20,0.65,0.35
165,100,3.0,20,0.65,0.35
166,100,3.0,20,0.65,0.35
167,100,3.0,20,0.65,0.35
168,100,3.0,20,0.7,0.3
169,100,3.0,20,0.7,0.3
170,100,3.0,20,0.7,0.3
171,100,3.0,20,0.7,0.3
172,100,3.0,20,0.7,0.3
173,100,3.0,20,0.7,0.3
174,100,3.0,20,0.7,0.3
175,100,3.0,20,0.7,0.3
176,100,3.0,20,0.7,0.3
177,100,3.0,20,0.7,0.3
178,100,3.0,20,0.7,0.3
179,100,3.0,20,0.7,0.3
180,100,3.0,20,0.7,0.3
181,100,3.0,20,0.7,0.3
182,100,3.0,20,0.7,0.3
183,100,3.0,20,0.7,0.3
184,100,3.0,20,0.7,0.3
185,100,3.0,20,0.7,0.3
186,100,3.0,20,0.7,0.3
187,100,3.0,20,0.65,0.35
188,100,3.0,20,0.65,0.35
189,100,3.0,20,0.65,0.35
190,100,3.0,20,0.65,0.35
191,100,3.0,20,0.65,0.35
192,100,3.0,20,0.65,0.35
193,100,3.0,20,0.65,0.35
194,100,3.0,20,0.65,0.35
195,100,3.0,20,0.65,0.35
196,100,3.0,20,0.65,0.35
197,100,3.0,20,0.65,0.35
198,100,3.0,20,0.65,0.35
199,100,3.0,20,0.65,0.35
200,100,3.0,20,0.65,0.35
201,100,3.0,20,0.65,0.35
202,100,3.0,20,0.65,0.35
203,100,3.0,20,0.65,0.35
204,100,3.0,20,0.65,0.35
205,100,3.0,20,0.65,0.35
206,100,3.0,20,0.65,0.35
207,100,3.0,20,0.65,0.35
208,100,3.0,20,0.65,0.35
209,100,3.0,20,0.65,0.35
210,100,3.0,20,0.65,0.35
211,100,3.0,20,0.65,0.35
212,100,3.0,20,0.65,0.35
213,100,3.0,20,0.65,0.35
214,100,3.0,20,0.65,0.35
215,100,3.0,20,0.65,0.35
216,100,3.0,20,0.65,0.35
217,100,3.0,20,0.65,0.35
218,100,3.0,20,0.65,0.35
219,100,3.0,20,0.65,0.35
220,100,3.0,20,0.65,0.35
221,100,3.0,20,0.6,0.4
222,100,3.0,20,0.6,0.4
223,100,3.0,20,0.6,0.4
224,100,3.0,20,0.55,0.45
225,100,3.0,20,0.55,0.45
226,100,3.0,20,0.55,0.45
227,100,3.0,20,0.55,0.45
228,100,3.0,20,0.55,0.45
229,100,3.0,20,0.55,0.45
230,100,3.0,20,0.55,0.45
231,100,3.0,20,0.55,0.45
232,100,3.0,20,0.55,0.45
233,100,3.0,20,0.55,0.45
234,100,3.0,20,0.55,0.45
235,100,3.0,20,0.55,0.45
236,100,3.0,20,0.55,0.45
237,100,3.0,20,0.55,0.45
238,100,3.0,20,0.55,0.45
239,100,3.0,20,0.55,0.45
240,100,3.0,20,0.55,0.45
241,100,3.0,20,0.55,0.45
242,100,3.0,20,0.55,0.45
243,100,3.0,20,0.55,0.45
244,100,3.0,20,0.55,0.45
245,100,3.0,20,0.55,0.45
246,100,3.0,20,0.55,0.45
247,100,3.0,20,0.55,0.45
248,100,3.0,20,0.55,0.45
249,100,3.0,20,0.55,0.45
250,100,3.0,20,0.55,0.45
251,100,3.0,20,0.55,0.45
252,100,3.0,20,0.55,0.45
253,100,3.0,20,0.55,0.45
254,100,3.0,20,0.55,0.45
255,100,3.0,20,0.5,0.5
256,100,3.0,20,0.5,0.5
257,100,3.0,20,0.5,0.5
258,100,3.0,20,0.5,0.5
259,100,3.0,20,0.5,0.5
260,100,3.0,20,0.55,0.45
261,100,3.0,20,0.55,0.45
262,100,3.0,20,0.55,0.45
263,100,3.0,20,0.55,0.45
264,100,3.0,20,0.55,0.45
265,100,3.0,20,0.55,0.45
266,100,3.0,20,0.55,0.45
267,100,3.0,20,0.55,0.45
268,100,3.0,20,0.55,0.45
