Cycle,Peptide_Count,Membrane_Thickness,Raft_Count,L_fraction,D_fraction,With_Catalysis
157,100,3.0,20,0.0,1.0,True
158,100,3.0,20,0.0,1.0,True
159,100,3.0,20,0.0,1.0,True
160,100,3.0,20,0.0,1.0,True
161,100,3.0,20,0.0,1.0,True
162,100,3.0,20,0.0,1.0,True
163,100,3.0,20,0.0,1.0,True
164,100,3.0,20,0.0,1.0,True
165,100,3.0,20,0.0,1.0,True
166,100,3.0,20,0.0,1.0,True
167,100,3.0,20,0.0,1.0,True
168,100,3.0,20,0.0,1.0,True
169,100,3.0,20,0.0,1.0,True
170,100,3.0,20,0.0,1.0,True
171,100,3.0,20,0.0,1.0,True
172,100,3.0,20,0.0,1.0,True
173,100,3.0,20,0.0,1.0,True
174,100,3.0,20,0.0,1.0,True
175,100,3.0,20,0.0,1.0,True
176,100,3.0,20,0.0,1.0,True
177,100,3.0,20,0.0,1.0,True
178,100,3.0,20,0.0,1.0,True
179,100,3.0,20,0.0,1.0,True
180,100,3.0,20,0.0,1.0,True
181,100,3.0,20,0.0,1.0,True
182,100,3.0,20,0.0,1.0,True
183,100,3.0,20,0.0,1.0,True
184,100,3.0,20,0.0,1.0,True
185,100,3.0,20,0.0,1.0,True
186,100,3.0,20,0.0,1.0,True
187,100,3.0,20,0.0,1.0,True
188,100,3.0,20,0.0,1.0,True
189,100,3.0,20,0.0,1.0,True
190,100,3.0,20,0.0,1.0,True
191,100,3.0,20,0.0,1.0,True
192,100,3.0,20,0.0,1.0,True
193,100,3.0,20,0.0,1.0,True
194,100,3.0,20,0.0,1.0,True
195,100,3.0,20,0.0,1.0,True
196,100,3.0,20,0.0,1.0,True
197,100,3.0,20,0.0,1.0,True
198,100,3.0,20,0.0,1.0,True
199,100,3.0,20,0.0,1.0,True
200,100,3.0,20,0.0,1.0,True
201,100,3.0,20,0.0,1.0,True
202,100,3.0,20,0.0,1.0,True
203,100,3.0,20,0.0,1.0,True
204,100,3.0,20,0.0,1.0,True
205,100,3.0,20,0.0,1.0,True
206,100,3.0,20,0.0,1.0,True
207,100,3.0,20,0.0,1.0,True
208,100,3.0,20,0.0,1.0,True
209,100,3.0,20,0.0,1.0,True
210,100,3.0,20,0.0,1.0,True
211,100,3.0,20,0.0,1.0,True
212,100,3.0,20,0.0,1.0,True
213,100,3.0,20,0.0,1.0,True
214,100,3.0,20,0.0,1.0,True
215,100,3.0,20,0.0,1.0,True
216,100,3.0,20,0.0,1.0,True
217,100,3.0,20,0.0,1.0,True
218,100,3.0,20,0.0,1.0,True
219,100,3.0,20,0.0,1.0,True
220,100,3.0,20,0.0,1.0,True
221,100,3.0,20,0.0,1.0,True
222,100,3.0,20,0.0,1.0,True
223,100,3.0,20,0.0,1.0,True
224,100,3.0,20,0.0,1.0,True
225,100,3.0,20,0.0,1.0,True
226,100,3.0,20,0.0,1.0,True
227,100,3.0,20,0.0,1.0,True
228,100,3.0,20,0.0,1.0,True
229,100,3.0,20,0.0,1.0,True
230,100,3.0,20,0.0,1.0,True
231,100,3.0,20,0.0,1.0,True
232,100,3.0,20,0.0,1.0,True
233,100,3.0,20,0.0,1.0,True
234,100,3.0,20,0.0,1.0,True
235,100,3.0,20,0.0,1.0,True
236,100,3.0,20,0.0,1.0,True
237,100,3.0,20,0.0,1.0,True
238,100,3.0,20,0.0,1.0,True
239,100,3.0,20,0.0,1.0,True
240,100,3.0,20,0.0,1.0,True
241,100,3.0,20,0.0,1.0,True
242,100,3.0,20,0.0,1.0,True
243,100,3.0,20,0.0,1.0,True
244,100,3.0,20,0.0,1.0,True
245,100,3.0,20,0.0,1.0,True
246,100,3.0,20,0.0,1.0,True
247,100,3.0,20,0.0,1.0,True
248,100,3.0,20,0.0,1.0,True
249,100,3.0,20,0.0,1.0,True
250,100,3.0,20,0.0,1.0,True
251,100,3.0,20,0.0,1.0,True
252,100,3.0,20,0.0,1.0,True
253,100,3.0,20,0.0,1.0,True
254,100,3.0,20,0.0,1.0,True
255,100,3.0,20,0.0,1.0,True
256,100,3.0,20,0.0,1.0,True
257,100,3.0,20,0.0,1.0,True
258,100,3.0,20,0.0,1.0,True
259,100,3.0,20,0.0,1.0,True
260,100,3.0,20,0.0,1.0,True
261,100,3.0,20,0.0,1.0,True
262,100,3.0,20,0.0,1.0,True
263,100,3.0,20,0.0,1.0,True
264,100,3.0,20,0.0,1.0,True
265,100,3.0,20,0.0,1.0,True
266,100,3.0,20,0.0,1.0,True
267,100,3.0,20,0.0,1.0,True
268,100,3.0,20,0.0,1.0,True
269,100,3.0,20,0.0,1.0,True
270,100,3.0,20,0.0,1.0,True
271,100,3.0,20,0.0,1.0,True
272,100,3.0,20,0.0,1.0,True
273,100,3.0,20,0.0,1.0,True
274,100,3.0,20,0.0,1.0,True
275,100,3.0,20,0.0,1.0,True
276,100,3.0,20,0.0,1.0,True
277,100,3.0,20,0.0,1.0,True
278,100,3.0,20,0.0,1.0,True
279,100,3.0,20,0.0,1.0,True
280,100,3.0,20,0.0,1.0,True
281,100,3.0,20,0.0,1.0,True
